candidate_name,rr_target,oversold,overbought,ema_period,stop_buffer,full_year_total_return,full_year_total_trades,full_year_win_rate,full_year_profit_factor,full_year_max_drawdown,q_positive_count,q_trade_count_min,q_trade_count_mean,q_profit_factor_mean,q_profit_factor_median,q_profit_factor_min,q_max_drawdown_worst,long_trades,short_trades,stability_score
candidate_A_return,2.2,15,85,34,0,13.639339999999933,80,0.625,4.107151806745818,-0.639969560566906,4,18,20.0,3.5891826405846645,3.281934446956019,2.7928616684266188,-0.6926606976365813,41,39,0.6788768369019063
candidate_B_stability,2.0,15,85,34,0,12.28728999999995,80,0.6375,3.861495432008741,-0.5474147847531724,4,18,20.0,3.4762797001164842,3.109738459507361,2.685641881451214,-0.5995119327990714,41,39,0.6595829183799777
candidate_B_stability,2.0,15,85,34,20,13.549049999999951,80,0.6375,3.7426727043434123,-0.6759330723265163,4,18,20.0,3.4210107304147983,3.010387844210144,2.6632672332389045,-0.7317232440912245,41,39,0.6586182859938813
candidate_B_stability,2.0,15,85,34,10,12.819049999999965,80,0.6375,3.756731590141233,-0.6608630436942655,4,18,20.0,3.417583276432284,3.0328734322264825,2.6045862412761713,-0.7127266546577344,41,39,0.654005783472058
candidate_A_return,2.2,15,85,34,10,12.740011999999922,80,0.6125,3.440288083973386,-1.0551917662341463,4,18,20.0,3.375454631892462,3.2963909647916205,1.9090365979866086,-1.165766258779533,41,39,0.6096567308443696
baseline,2.0,20,80,34,0,13.5578999999999,100,0.6,3.1209803074958926,-0.5443458417872782,4,23,25.0,3.2698334716122526,2.9327959271583732,2.2137420321322643,-0.5985499354319795,49,51,0.6072580266616022
candidate_A_return,2.2,15,85,34,20,12.858283999999953,80,0.5875,3.242564887839334,-1.0627717078425998,4,18,20.0,3.3843682993350934,3.3083092135271386,1.9208547702860965,-1.174118962847861,41,39,0.59567471268631
baseline,2.0,20,80,34,10,13.621159999999932,100,0.59,2.935412184953927,-0.6592349383939095,4,23,25.0,3.0071585425744844,2.964418387872359,2.038060246612078,-0.7112372874402196,49,51,0.5904620302088572
baseline,2.0,20,80,34,20,13.819029999999888,100,0.57,2.8091121767555736,-0.6777334299595031,4,23,25.0,2.8713943585650523,2.702300233406045,2.0882429356806544,-0.7301239211699515,49,51,0.582547427302348
candidate_A_return,2.2,15,85,89,10,14.698743999999909,104,0.5288461538461539,2.531545127655286,-1.3793346520276502,4,18,26.0,2.5668484998958774,2.48277262208603,2.2009961731605716,-1.443426441182034,52,52,0.5646529601409016
candidate_A_return,2.2,15,85,55,10,14.032961999999905,128,0.5390625,2.4093620944545218,-1.1198312340346959,4,28,32.0,2.5245012058009464,2.0925433477376325,1.9660174209738348,-1.1505537534290318,64,64,0.5516731685847955
candidate_A_return,2.2,15,85,55,0,13.422817999999936,128,0.5390625,2.4483549731700496,-1.1070693441287212,4,28,32.0,2.601405085206953,2.0583742462659855,1.9815629742033434,-1.1340282149815497,64,64,0.5511210868096948
candidate_B_stability,2.0,15,85,55,0,12.747759999999953,128,0.5703125,2.447776619352958,-1.128985290341587,4,28,32.0,2.666719114031493,2.0460796837832245,1.8768137765936923,-1.1546905887948826,64,64,0.5507210913214841
candidate_A_return,2.2,15,85,89,0,13.51341599999991,104,0.5288461538461539,2.459392070084939,-1.3596549443918498,4,18,26.0,2.517030694658531,2.4038030375308823,2.0272601603538476,-1.3993954457204976,52,52,0.5501267418554903
candidate_B_stability,2.0,15,85,55,20,13.916099999999897,128,0.5546875,2.3747989583374416,-1.1567116617441733,4,28,32.0,2.558574973504482,2.0691585225615285,1.8199931455114757,-1.1919490630375114,64,64,0.5478979969670285
candidate_B_stability,2.0,15,85,89,0,12.735899999999933,104,0.5673076923076923,2.4425566617961763,-1.3852845922035366,4,18,26.0,2.575472127427911,2.1852754886644394,1.8429637821398561,-1.4108102628485246,52,52,0.5475037337013
candidate_B_stability,2.0,15,85,89,10,12.848779999999916,104,0.5384615384615384,2.3556797295557694,-1.4075645123810325,4,18,26.0,2.3948232256104762,2.257066020078206,2.00090561196416,-1.4470679335961032,52,52,0.54251202286104
candidate_A_return,2.2,15,85,89,20,14.26199199999989,104,0.5,2.3658373827085675,-1.4908220990590126,4,18,26.0,2.405585765727634,2.2950516813415156,1.974582682392268,-1.5965855412679582,52,52,0.540856381900856
candidate_B_stability,2.0,15,85,89,20,13.110009999999917,104,0.5288461538461539,2.3009408246033334,-1.4334156433700413,4,18,26.0,2.330097464052064,2.260824047134446,2.0190535639073333,-1.4950938530266822,52,52,0.5394624596514837
candidate_B_stability,2.0,15,85,55,10,12.499189999999881,128,0.546875,2.2831197228281703,-1.1471826062826902,4,28,32.0,2.474045726152588,1.9023121343069374,1.7872885645216676,-1.173334391456725,64,64,0.5337789211197743
baseline,2.0,20,80,55,20,14.08949999999991,143,0.5384615384615384,2.1561317364090127,-1.154212884119385,4,30,35.75,2.235161961045199,1.9824949966552592,1.6119615820156878,-1.1971881893910166,72,71,0.5283193010262736
baseline,2.0,20,80,55,0,12.750609999999952,144,0.5486111111111112,2.1806021986853747,-1.1353075131145436,4,30,36.0,2.2495284684603885,1.979625234151046,1.6213234067818114,-1.1593183594960002,73,71,0.525348492562465
baseline,2.0,20,80,55,10,12.64258999999992,143,0.5314685314685315,2.079112441136822,-1.2654636295038597,4,30,35.75,2.159899083148048,1.8260913568944788,1.6163913106609196,-1.2654636295038597,72,71,0.5156266995228552
candidate_A_return,2.2,15,85,55,20,12.090273999999956,128,0.5078125,2.0564681209886344,-2.1502689537142032,4,28,32.0,2.1804204085067918,2.253015101198351,1.1618538012016186,-2.22709372048267,64,64,0.4885574214830667
baseline,2.0,20,80,89,0,10.872189999999904,124,0.5080645161290323,1.8821614525225692,-1.946639980123433,4,24,31.0,2.088155137847311,1.7747646419620868,1.1340551334737978,-1.9560008653820127,65,59,0.4743235755292383
baseline,2.0,20,80,89,10,10.924719999999887,122,0.48360655737704916,1.8395248436560947,-1.997633800173421,4,24,30.5,1.9308981412956183,1.8354162024270597,1.205795657190794,-2.0127588287287423,64,58,0.4694312292302941
baseline,2.0,20,80,89,20,11.095949999999899,122,0.47540983606557374,1.8062411308352946,-2.0521414183815994,4,24,30.5,1.8762104794828134,1.8341630008999805,1.2185101918465067,-2.069451115387573,64,58,0.4670818239333363
